
Episode 100: steps = 45, reward = 100, avg_plan_time = 0.03246059953032628, avg_dist = 0.17036360401845735
Episode 101: steps = 199, reward = 0, avg_plan_time = 0.031115502677857877, avg_dist = 0.08907163212167028
Episode 102: steps = 199, reward = 0, avg_plan_time = 0.03046009282581508, avg_dist = 0.03369584303246275
Episode 103: steps = 199, reward = -100, avg_plan_time = 0.033022147379815577, avg_dist = 0.10641542619120357
Episode 104: steps = 35, reward = 100, avg_plan_time = 0.03263817075639963, avg_dist = 0.16515180551460962
Episode 105: steps = 199, reward = 0, avg_plan_time = 0.035382225532084706, avg_dist = 0.039170506270912946
Episode 106: steps = 199, reward = 0, avg_plan_time = 0.03231158584356308, avg_dist = 0.02375763746292237
Episode 107: steps = 199, reward = 0, avg_plan_time = 0.03397865043953061, avg_dist = 0.05708180884802418
Episode 108: steps = 199, reward = 0, avg_plan_time = 0.03374031143262982, avg_dist = 0.0736718698040151
Episode 109: steps = 199, reward = 0, avg_plan_time = 0.03496602819301188, avg_dist = 0.033297299519115205
Episode 110: steps = 23, reward = 100, avg_plan_time = 0.03472946917948624, avg_dist = 0.12973691771431586
Episode 111: steps = 19, reward = 100, avg_plan_time = 0.029671245347708465, avg_dist = 0.05583168791108752
Episode 112: steps = 199, reward = 0, avg_plan_time = 0.030960733676329254, avg_dist = 0.028905489034930686
Episode 113: steps = 30, reward = 100, avg_plan_time = 0.03325895754800689, avg_dist = 0.20532409838221946
Episode 114: steps = 199, reward = 0, avg_plan_time = 0.033685789946466684, avg_dist = 0.02147897561241136
Episode 115: steps = 25, reward = 100, avg_plan_time = 0.033858315589336246, avg_dist = 0.08919460311994834
Episode 116: steps = 30, reward = 100, avg_plan_time = 0.03643726984099034, avg_dist = 0.09062843198717906
Episode 117: steps = 21, reward = 100, avg_plan_time = 0.03228945996273647, avg_dist = 0.10567844592517069
Episode 118: steps = 199, reward = 0, avg_plan_time = 0.03223575503565371, avg_dist = 0.027154553149594158
Episode 119: steps = 199, reward = 0, avg_plan_time = 0.034053299836814405, avg_dist = 0.025875969401961896
Episode 120: steps = 199, reward = 0, avg_plan_time = 0.034108618823811415, avg_dist = 0.03434424506563719
Episode 121: steps = 199, reward = 0, avg_plan_time = 0.035098323049023744, avg_dist = 0.04081508424605101
Episode 122: steps = 27, reward = 100, avg_plan_time = 0.034112859916474135, avg_dist = 0.1186131464659621
Episode 123: steps = 34, reward = 100, avg_plan_time = 0.03477193345980985, avg_dist = 0.20001338067714938
Episode 124: steps = 16, reward = 100, avg_plan_time = 0.03172711272011785, avg_dist = 0.09303865462701068
Episode 125: steps = 199, reward = 0, avg_plan_time = 0.0322750124707818, avg_dist = 0.03447820662905768
Episode 126: steps = 20, reward = 100, avg_plan_time = 0.0323031736271722, avg_dist = 0.1330724313871746
Episode 127: steps = 199, reward = 0, avg_plan_time = 0.034245631201192735, avg_dist = 0.044813537091095146
Episode 128: steps = 24, reward = 100, avg_plan_time = 0.029298027828335762, avg_dist = 0.09715569970617116
Episode 129: steps = 199, reward = 0, avg_plan_time = 0.03221617474220693, avg_dist = 0.027389541901722096
Episode 130: steps = 17, reward = 100, avg_plan_time = 0.037606313824653625, avg_dist = 0.11163432861773538
Episode 131: steps = 199, reward = 0, avg_plan_time = 0.03277720810845494, avg_dist = 0.048745338423160936
Episode 132: steps = 26, reward = 100, avg_plan_time = 0.03201960123799465, avg_dist = 0.14054449076973208
Episode 133: steps = 199, reward = -100, avg_plan_time = 0.03240717515349388, avg_dist = 0.19310420418793373
Episode 134: steps = 199, reward = 0, avg_plan_time = 0.032609253488481045, avg_dist = 0.04551578367411574
Episode 135: steps = 199, reward = 0, avg_plan_time = 0.03215620715171099, avg_dist = 0.037742242075821525
Episode 136: steps = 30, reward = 100, avg_plan_time = 0.029778773926438823, avg_dist = 0.13045755305121393
Episode 137: steps = 199, reward = 0, avg_plan_time = 0.03259347079321742, avg_dist = 0.032007103554329834
Episode 138: steps = 24, reward = 100, avg_plan_time = 0.03208823539316654, avg_dist = 0.09194928725479933
Episode 139: steps = 199, reward = 0, avg_plan_time = 0.03250008603557944, avg_dist = 0.05571133899073771
Episode 140: steps = 24, reward = 100, avg_plan_time = 0.028694185689091684, avg_dist = 0.17238574368139928
Episode 141: steps = 18, reward = 100, avg_plan_time = 0.03333757837352, avg_dist = 0.10681724136597101
Episode 142: steps = 199, reward = 0, avg_plan_time = 0.033891388373449446, avg_dist = 0.052120023445575
Episode 143: steps = 199, reward = 0, avg_plan_time = 0.03410263241268694, avg_dist = 0.04898560255607196
Episode 144: steps = 22, reward = 100, avg_plan_time = 0.03436818111525929, avg_dist = 0.12226181898015263
Episode 145: steps = 25, reward = 100, avg_plan_time = 0.03437926362340267, avg_dist = 0.13481169120916792
Episode 146: steps = 199, reward = 0, avg_plan_time = 0.031700116815045476, avg_dist = 0.04679104558187897
Episode 147: steps = 23, reward = 100, avg_plan_time = 0.027302795943493646, avg_dist = 0.13721645862176718
